Batch 1
EO-015 | cluster=1 | cluster_center=0.1942 | cluster_meaning=low_quality
EO-016 | cluster=1 | cluster_center=0.1942 | cluster_meaning=low_quality
EO-017 | cluster=1 | cluster_center=0.1942 | cluster_meaning=low_quality
EO-018 | cluster=1 | cluster_center=0.1942 | cluster_meaning=low_quality
EO-019 | cluster=1 | cluster_center=0.1942 | cluster_meaning=low_quality
EO-020 | cluster=1 | cluster_center=0.1942 | cluster_meaning=low_quality
EO-021 | cluster=1 | cluster_center=0.1942 | cluster_meaning=low_quality
EO-022 | cluster=1 | cluster_center=0.1942 | cluster_meaning=low_quality
EO-023 | cluster=1 | cluster_center=0.1942 | cluster_meaning=low_quality
EO-024 | cluster=1 | cluster_center=0.1942 | cluster_meaning=low_quality
EO-025 | cluster=1 | cluster_center=0.1942 | cluster_meaning=low_quality
EO-026 | cluster=1 | cluster_center=0.1942 | cluster_meaning=low_quality
EO-027 | cluster=1 | cluster_center=0.1942 | cluster_meaning=low_quality
EO-028 | cluster=1 | cluster_center=0.1942 | cluster_meaning=low_quality
EO-029 | cluster=0 | cluster_center=0.4145 | cluster_meaning=high_quality
EO-030 | cluster=2 | cluster_center=0.3282 | cluster_meaning=medium_quality
EO-031 | cluster=2 | cluster_center=0.3282 | cluster_meaning=medium_quality
EO-032 | cluster=2 | cluster_center=0.3282 | cluster_meaning=medium_quality
EO-033 | cluster=0 | cluster_center=0.4145 | cluster_meaning=high_quality
EO-034 | cluster=0 | cluster_center=0.4145 | cluster_meaning=high_quality
EO-035 | cluster=0 | cluster_center=0.4145 | cluster_meaning=high_quality
EO-036 | cluster=0 | cluster_center=0.4145 | cluster_meaning=high_quality
EO-037 | cluster=2 | cluster_center=0.3282 | cluster_meaning=medium_quality
EO-038 | cluster=2 | cluster_center=0.3282 | cluster_meaning=medium_quality
EO-039 | cluster=2 | cluster_center=0.3282 | cluster_meaning=medium_quality
EO-040 | cluster=0 | cluster_center=0.4145 | cluster_meaning=high_quality
EO-041 | cluster=0 | cluster_center=0.4145 | cluster_meaning=high_quality
EO-042 | cluster=0 | cluster_center=0.4145 | cluster_meaning=high_quality
EO-043 | cluster=1 | cluster_center=0.1942 | cluster_meaning=low_quality
EO-044 | cluster=1 | cluster_center=0.1942 | cluster_meaning=low_quality
